sample,x_val,read_counts,protein_precision
L4,1,1,23.84
L4,2,2-4,69.6
L4,3,5-9,83.94
L4,4,10-19,88.25
L4,5,20-39,90.39
L4,6,40-79,92.26
L4,7,80-159,93.96
L4,8,160-319,89.53
L4,9,320-639,87.62
L4,10,640+,85.85
Male,1,1,8.658
Male,2,2-4,15.37
Male,3,5-9,27.18
Male,4,10-19,38.36
Male,5,20-39,45.98
Male,6,40-79,51
Male,7,80-159,54.37
Male,8,160-319,50.58
Male,9,320-639,85.85
Male,10,640+,75.04
GM12878,1,1,17.995
GM12878,2,2-4,29.359
GM12878,3,5-9,44.53
GM12878,4,10-19,51.394
GM12878,5,20-39,57.28
GM12878,6,40-79,60.229
GM12878,7,80-159,64.964
GM12878,8,160-319,65.041
GM12878,9,320-639,51.111
GM12878,10,640+,65.31